index,Used Price
1282,33790
1283,34965
1284,34965
1285,35965
1286,35965
1287,38560
1288,34360
1289,34360
1290,36475
1291,36475
1292,44320
1293,50285
1294,49015
1295,45590
1296,45140
1297,51115
1298,49840
1299,46420
1300,54210
1301,49515
1302,49965
1303,51240
1304,45265
1305,46545
1306,47370
1307,46090
1308,50785
1309,52065
1310,52930
1311,57275
1312,59085
1313,52575
1314,55465
1315,50770
1316,51215
1317,46520
1318,52485
1319,47790
1320,53315
1321,48620
1322,52040
1323,47340
1324,58900
1325,52270
1326,54765
1327,61405
1328,51205
1329,55900
1330,48630
1331,53325
1332,54455
1333,49760
1334,53715
1335,58405
1336,55835
1337,51140
1338,52265
1339,56955
1340,95900
1341,106700
1342,149200
1343,170350
1344,62600
1345,69250
1346,59900
1347,81850
1348,90000
1349,44850
1350,49550
1351,57250
1352,46850
1353,51550
1354,59250
1355,49500
1356,57800
1357,39350
1358,41350
1359,76500
1360,91500
1361,81300
1362,84500
1363,112800
1364,121100
1365,56750
1366,59250
1367,69750
1368,76900
1369,65550
1370,72250
1371,79550
1372,71250
1373,52750
1374,56900
1375,60550
1376,106900
1377,77900
1378,74900
1379,85900
1380,77900
1381,77900
1382,89500
1383,147550
1384,107400
1385,104400
1386,125950
1387,107400
1388,104400
1389,125950
1390,179000
1391,349000
1392,139900
1393,49500
1394,56650
1395,37500
1396,39500
1397,51500
1398,39800
1399,41800
1400,47100
1401,49100
1402,68200
1403,54700
1404,76950
1405,120000
1406,57700
1407,60200
1408,66450
1409,83850
1410,81200
1411,120700
1412,139000
1413,81800
1414,105000
1415,193400
1416,229000
1417,170000
1418,39600
1419,40200
1420,43600
1421,114500
1422,124000
1423,120500
1424,109900
1425,141300
1426,183000
1427,43500
1428,48700
1429,44500
1430,47000
1431,56050
1432,49650
1433,51850
1434,49200
1435,46700
1436,58250
1437,61660
1438,55260
1439,50110
1440,52610
1441,53290
1442,64590
1443,58190
1444,55540
1445,62340
1446,55940
1447,50790
1448,56100
1449,53600
1450,65150
1451,58750
1452,61510
1453,64160
1454,52470
1455,49820
1456,54670
1457,52020
1458,58690
1459,60940
1460,56040
1461,58290
1462,58850
1463,61500
1464,55220
1465,61550
1466,52570
1467,57420
1468,63750
1469,54770
1470,67840
1471,61040
1472,70090
1473,63690
1474,58790
